Time,Temperature (C),Humidity (%)
10:16:21,19.0,48.0
10:16:23,19.0,48.0
10:16:25,19.0,47.0
10:16:26,19.0,48.0
10:16:28,19.0,48.0
10:16:30,19.0,48.0
10:16:31,19.0,48.0
10:16:33,19.0,48.0
10:16:34,19.0,48.0
10:16:36,19.0,48.0
10:16:37,19.0,48.0
10:16:39,19.0,48.0
10:16:41,19.0,48.0
10:16:42,19.0,47.0
10:16:44,19.0,47.0
10:16:45,19.0,48.0
10:16:47,19.0,48.0
10:16:48,19.0,48.0
10:16:50,19.0,48.0
10:16:51,19.0,49.0
10:16:53,19.0,48.0
10:16:55,19.0,48.0
10:16:56,19.0,48.0
10:16:58,19.0,48.0
10:16:59,19.0,48.0
10:17:01,19.0,48.0
10:17:02,19.0,48.0
10:17:04,19.0,48.0
10:17:05,19.0,48.0
10:17:07,19.0,48.0
10:17:08,19.0,48.0
10:17:10,19.0,48.0
10:17:11,19.0,48.0
10:17:13,19.0,48.0
10:17:15,19.0,48.0
10:17:16,19.0,47.0
10:17:18,19.0,48.0
10:17:20,19.0,47.0
10:17:22,19.0,48.0
10:17:23,19.0,48.0
10:17:25,19.0,48.0
10:17:27,19.0,47.0
10:17:28,19.0,48.0
10:17:30,19.0,48.0
10:17:31,19.0,48.0
10:17:33,19.0,48.0
10:17:34,19.0,48.0
10:17:36,19.0,48.0
10:17:37,19.0,48.0
10:17:39,19.0,48.0
10:17:40,19.0,48.0
10:17:42,19.0,48.0
10:17:44,19.0,47.0
10:17:45,19.0,48.0
10:17:48,19.0,48.0
10:17:49,19.0,47.0
10:17:51,19.0,48.0
10:17:52,19.0,48.0
10:17:54,19.0,48.0
10:17:55,19.0,48.0
10:17:57,19.0,48.0
10:17:58,19.0,48.0
10:18:00,19.0,48.0
10:18:01,19.0,48.0
10:18:03,19.0,48.0
10:18:05,19.0,48.0
10:18:06,19.0,47.0
10:18:08,19.0,48.0
10:18:09,19.0,48.0
10:18:11,19.0,48.0
10:18:12,19.0,48.0
10:18:14,19.0,48.0
10:18:16,19.0,48.0
10:18:17,19.0,48.0
10:18:19,19.0,48.0
10:18:20,19.0,48.0
10:18:22,19.0,48.0
10:18:23,19.0,48.0
10:18:25,19.0,48.0
10:18:26,19.0,48.0
10:18:28,19.0,48.0
10:18:29,19.0,48.0
10:18:31,19.0,48.0
10:18:33,19.0,47.0
10:18:34,19.0,48.0
10:18:36,19.0,48.0
10:18:38,19.0,47.0
10:18:40,19.0,48.0
10:18:41,19.0,48.0
10:18:44,19.0,47.0
10:18:45,19.0,47.0
10:18:47,19.0,48.0
10:18:48,19.0,48.0
10:18:50,19.0,48.0
10:18:51,19.0,48.0
10:18:53,19.0,48.0
10:18:55,19.0,47.0
10:18:56,19.0,48.0
10:18:58,19.0,48.0
10:18:59,19.0,48.0
10:19:01,19.0,48.0
10:19:03,19.0,48.0
10:19:05,19.0,47.0
10:19:06,19.0,48.0
10:19:08,19.0,48.0
10:19:09,19.0,48.0
10:19:11,19.0,48.0
10:19:13,19.0,47.0
10:19:15,19.0,48.0
10:19:16,19.0,47.0
10:19:18,19.0,48.0
10:19:19,19.0,48.0
10:19:21,19.0,48.0
10:19:23,19.0,48.0
10:19:24,19.0,47.0
10:19:26,19.0,48.0
10:19:27,19.0,48.0
10:19:29,19.0,48.0
10:19:31,19.0,48.0
10:19:32,19.0,48.0
10:19:34,19.0,48.0
10:19:35,19.0,48.0
10:19:37,19.0,48.0
10:19:38,19.0,48.0
10:19:40,19.0,48.0
10:19:41,19.0,48.0
10:19:43,19.0,48.0
10:19:44,19.0,48.0
10:19:46,19.0,48.0
10:19:47,19.0,48.0
10:19:49,19.0,48.0
10:19:50,19.0,48.0
10:19:52,19.0,48.0
10:19:53,19.0,48.0
10:19:55,19.0,48.0
10:19:56,19.0,48.0
10:19:58,19.0,48.0
10:20:00,19.0,48.0
10:20:02,19.0,47.0
10:20:04,19.0,48.0
10:20:05,19.0,47.0
10:20:07,19.0,48.0
10:20:08,19.0,48.0
10:20:10,19.0,48.0
10:20:11,19.0,48.0
10:20:13,19.0,48.0
10:20:14,19.0,48.0
10:20:16,19.0,48.0
10:20:17,19.0,48.0
10:20:19,19.0,48.0
10:20:21,19.0,47.0
10:20:22,19.0,48.0
10:20:24,19.0,48.0
10:20:26,19.0,48.0
10:20:27,19.0,48.0
10:20:29,19.0,48.0
10:20:30,19.0,48.0
10:20:32,19.0,48.0
10:20:33,19.0,48.0
10:20:35,19.0,48.0
10:20:36,19.0,48.0
10:20:38,19.0,48.0
10:20:40,19.0,47.0
10:20:41,19.0,48.0
10:20:43,19.0,48.0
10:20:44,19.0,48.0
10:20:46,19.0,48.0
10:20:47,19.0,48.0
10:20:49,19.0,48.0
10:20:51,19.0,48.0
10:20:52,19.0,48.0
10:20:54,19.0,48.0
10:20:55,19.0,48.0
10:20:57,19.0,48.0
10:20:58,19.0,48.0
10:21:00,19.0,48.0
10:21:01,19.0,48.0
10:21:03,19.0,48.0
10:21:04,19.0,48.0
10:21:06,19.0,48.0
10:21:08,19.0,47.0
10:21:09,19.0,48.0
10:21:11,19.0,48.0
10:21:12,19.0,48.0
10:21:14,19.0,48.0
10:21:17,19.0,48.0
10:21:19,19.0,48.0
10:21:20,19.0,47.0
10:21:22,19.0,48.0
10:21:23,19.0,48.0
10:21:25,19.0,48.0
10:21:26,19.0,48.0
10:21:28,19.0,48.0
10:21:30,19.0,47.0
10:21:32,19.0,48.0
10:21:33,19.0,47.0
10:21:35,19.0,48.0
10:21:36,19.0,48.0
10:21:38,19.0,48.0
10:21:39,19.0,48.0
