Hora,Temperatura (C),Voltaje C (V)
10:55:12,24.7788811914,2.4859508652
10:55:13,24.7976317637,2.4893259682
10:55:14,24.8195074313,2.4850758385
10:55:15,24.8382580035,2.4843258156
10:55:16,24.8570085757,2.4853258461
10:55:17,24.8757591479,2.482700766
10:55:18,24.8913846248,2.482700766
10:55:19,24.9070101016,2.4842008118
10:55:20,24.9132602924,2.4792006592
10:55:22,24.9195104831,2.4872009033
10:55:23,24.9257606738,2.4837007965
10:55:24,24.9445112461,2.4863258766
10:55:25,24.9663869137,2.4872009033
10:55:26,24.9820123905,2.4839508042
10:55:27,24.9913876766,2.4857008576
10:55:28,25.0101382488,2.4839508042
10:55:29,25.0288888211,2.4857008576
10:55:30,25.0507644887,2.4822007508
10:55:31,25.0726401563,2.4854508499
10:55:32,25.0976409192,2.4849508347
10:55:33,25.1101413007,2.4854508499
10:55:34,25.1257667776,2.4850758385
10:55:35,25.1413922544,2.4842008118
10:55:36,25.1663930174,2.4865758843
10:55:37,25.1851435896,2.484075808
10:55:38,25.2038941618,2.4848258309
10:55:39,25.222644734,2.4835757927
10:55:40,25.2382702109,2.4855758538
10:55:41,25.2413953063,2.4848258309
10:55:42,25.2538956877,2.4872009033
10:55:43,25.27264626,2.4849508347
10:55:44,25.2788964507,2.4848258309
10:55:45,25.2851466414,2.4847008271
10:55:46,25.2976470229,2.4859508652
10:55:47,25.3163975951,2.4863258766
10:55:48,25.3382732627,2.4838258003
10:55:49,25.3476485488,2.4858258614
10:55:50,25.3538987396,2.4848258309
10:55:51,25.3695242164,2.4859508652
10:55:52,25.3820245979,2.484075808
10:55:54,25.3882747887,2.4844508194
10:55:55,25.4039002655,2.4828257698
10:55:56,25.4226508377,2.4837007965
10:55:57,25.4382763146,2.4850758385
10:55:58,25.4507766961,2.4845758232
10:55:59,25.4632770775,2.484075808
10:56:00,25.4789025544,2.4817007355
10:56:01,25.4914029359,2.4820757469
10:56:02,25.5101535081,2.4877009186
10:56:03,25.5226538896,2.4760755638
10:56:04,25.5351542711,2.4852008423
10:56:05,25.5445295572,2.4825757622
10:56:06,25.560155034,2.4837007965
10:56:07,25.5757805109,2.484075808
10:56:08,25.5914059877,2.4777006134
10:56:09,25.6007812738,2.4847008271
10:56:10,25.6039063692,2.4855758538
10:56:11,25.6195318461,2.4859508652
10:56:12,25.6320322275,2.4838258003
10:56:13,25.6476577044,2.4845758232
10:56:14,25.6632831812,2.4819507431
10:56:15,25.6757835627,2.4834507889
