Hora,Temperatura (C)
21:51:09,18.32
21:51:10,18.32
21:51:11,18.32
21:51:12,18.32
21:51:13,18.32
21:51:14,18.32
21:51:15,18.32
21:51:16,18.32
21:51:17,18.32
21:51:18,18.32
21:51:19,18.32
21:51:20,18.32
21:51:21,18.32
21:51:22,18.32
21:51:23,18.32
21:51:24,18.32
21:51:25,18.32
21:51:26,18.32
21:51:27,18.32
21:51:28,18.32
21:51:29,18.32
21:51:30,18.32
21:51:31,18.32
21:51:32,18.32
21:51:33,18.32
21:51:34,18.32
21:51:35,18.32
21:51:36,18.32
21:51:37,18.32
21:51:38,18.32
21:51:39,18.32
21:51:40,18.32
21:51:41,18.32
21:51:42,18.32
21:51:43,18.32
21:51:44,18.32
21:51:45,18.32
21:51:46,18.32
21:51:47,18.32
21:51:48,18.32
21:51:49,18.32
21:51:50,18.31
21:51:51,18.32
21:51:52,18.32
21:51:53,18.32
21:51:54,18.31
21:51:55,18.32
21:51:56,18.32
21:51:57,18.31
21:51:58,18.32
21:51:59,18.32
21:52:00,18.32
21:52:01,18.32
21:52:02,18.32
21:52:03,18.32
21:52:04,18.32
21:52:05,18.32
21:52:06,18.32
21:52:07,18.32
21:52:08,18.32
21:52:09,18.31
21:52:10,18.32
21:52:11,18.32
21:52:12,18.31
21:52:14,18.32
21:52:15,18.32
21:52:16,18.32
21:52:17,18.32
21:52:18,18.32
21:52:19,18.31
21:52:20,18.32
21:52:21,18.32
21:52:22,18.31
21:52:23,18.31
21:52:24,18.32
21:52:25,18.31
21:52:26,18.31
21:52:27,18.32
21:52:28,18.32
21:52:29,18.31
21:52:30,18.32
21:52:31,18.32
21:52:32,18.31
21:52:33,18.32
21:52:34,18.31
21:52:35,18.31
21:52:36,18.31
21:52:37,18.31
21:52:38,18.31
21:52:39,18.31
21:52:40,18.32
21:52:41,18.31
21:52:42,18.31
21:52:43,18.31
21:52:44,18.31
21:52:45,18.31
21:52:46,18.31
21:52:47,18.31
21:52:48,18.31
21:52:49,18.31
21:52:50,18.31
21:52:51,18.31
21:52:52,18.31
21:52:53,18.31
21:52:54,18.31
21:52:55,18.31
21:52:56,18.31
21:52:57,18.31
